Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2023-07-11,631.0,10375.0,9987.0,205,6018,28.888,48.405,41.0,158.0,44.0,28,90.0,10980.0,74.0,16.0,531.0,518.0,14.0
2023-07-12,153.0,5888.0,4983.0,146,3033,39.717,38.473,39.0,115.0,43.0,25,93.0,6420.0,91.0,27.0,509.0,,14.0
2023-07-13,820.0,18359.0,17989.0,2218,7253,92.224,90.516,45.0,175.0,44.0,40,90.0,15180.0,64.0,17.0,580.0,556.0,13.0
2023-07-14,486.0,7740.0,6550.0,125,5078,24.384,52.04,40.0,125.0,45.0,26,92.0,7980.0,84.0,30.0,608.0,420.0,14.0
2023-07-15,710.0,5934.0,5149.0,1036,3755,24.384,18.381,56.0,135.0,45.0,66,96.0,6180.0,55.0,37.0,630.0,749.0,13.0
2023-07-16,1256.0,6973.0,17091.0,2036,3071,53.805,74.932,43.0,167.0,47.0,42,95.0,10680.0,63.0,14.0,598.0,826.0,14.0
2023-07-17,600.0,7568.0,6436.0,711,4455,40.06,39.664,38.0,150.0,46.0,25,97.0,10740.0,84.0,18.0,629.0,796.0,14.0
2023-07-18,762.0,8302.0,7134.0,558,4517,53.665,30.228,38.0,163.0,45.0,24,99.0,9120.0,93.0,22.0,637.0,534.0,14.0
2023-07-19,383.0,6437.0,5471.0,324,4031,27.432,12.184,40.0,122.0,45.0,26,87.0,9060.0,88.0,24.0,588.0,766.0,13.0
2023-07-20,811.0,5825.0,6600.0,1538,1555,56.688,94.005,39.0,157.0,45.0,23,88.0,36660.0,92.0,22.0,626.0,456.0,14.0
2023-07-21,2.0,203.0,172.0,0,80,3.048,2.417,47.0,89.0,45.0,22,79.0,600.0,64.0,27.0,641.0,,14.0
2023-07-22,0.0,140.0,125.0,36,4,0.0,0.0,53.0,93.0,45.0,34,67.0,360.0,23.0,20.0,639.0,,16.0
2023-07-23,2823.0,3403.0,106412.0,162,3030,24.384,33.353,42.0,180.0,44.0,47,99.0,6360.0,81.0,7.0,844.0,4000.0,17.0
2023-07-24,96.0,4039.0,3418.0,344,1534,13.805,41.497,45.0,108.0,45.0,31,90.0,5940.0,44.0,9.0,988.0,,14.0
2023-07-25,1160.0,8898.0,22635.0,2686,2092,240.792,289.159,37.0,177.0,46.0,14,84.0,6000.0,100.0,27.0,1363.0,1058.0,14.0
2023-07-26,664.0,21438.0,17491.0,19,13475,315.048,321.496,42.0,119.0,47.0,29,92.0,15060.0,79.0,26.0,1118.0,1392.0,13.0
2023-07-27,1593.0,12284.0,42326.0,1610,5269,177.139,173.062,47.0,175.0,47.0,51,92.0,10560.0,55.0,8.0,639.0,1290.0,13.0
2023-07-28,1506.0,13902.0,13537.0,2245,7130,105.093,140.014,40.0,159.0,47.0,33,91.0,17880.0,79.0,7.0,476.0,1165.0,14.0
2023-07-29,464.0,5326.0,4592.0,734,3798,30.48,21.195,44.0,125.0,47.0,32,91.0,8880.0,55.0,16.0,521.0,549.0,13.0
2023-07-30,48.0,2929.0,2479.0,53,1389,9.144,0.0,39.0,103.0,46.0,20,74.0,3960.0,100.0,39.0,515.0,,13.0
2023-07-31,1218.0,10462.0,10381.0,2372,4772,64.008,85.942,37.0,154.0,45.0,19,99.0,13680.0,100.0,21.0,635.0,939.0,14.0
2023-08-01,3080.0,2533.0,102059.0,251,2137,15.424,25.754,39.0,167.0,45.0,31,96.0,6060.0,81.0,9.0,758.0,3447.0,13.0
2023-08-02,984.0,13152.0,11130.0,286,9066,66.163,107.296,42.0,145.0,45.0,29,97.0,11520.0,52.0,11.0,618.0,758.0,14.0
2023-08-03,1113.0,15803.0,14899.0,409,8950,53.805,67.027,41.0,149.0,44.0,25,99.0,15720.0,93.0,20.0,591.0,,13.0
2023-08-04,533.0,6762.0,5748.0,321,4513,46.796,42.193,43.0,127.0,45.0,27,96.0,7740.0,80.0,23.0,626.0,425.0,14.0
2023-08-05,150.0,7064.0,5978.0,582,2787,39.694,49.664,42.0,107.0,44.0,28,86.0,9600.0,71.0,30.0,653.0,,13.0
2023-08-06,1040.0,12401.0,34402.0,2455,4470,119.663,106.963,37.0,199.0,44.0,27,98.0,15360.0,100.0,22.0,600.0,1040.0,13.0
2023-08-07,112.0,6200.0,5258.0,433,2503,42.672,35.692,45.0,102.0,45.0,34,96.0,8280.0,72.0,12.0,642.0,,13.0
2023-08-08,161.0,8399.0,7165.0,675,3191,54.061,48.282,44.0,127.0,45.0,31,95.0,11820.0,64.0,12.0,668.0,,13.0
2023-08-09,781.0,13478.0,13988.0,3136,2752,130.023,139.005,39.0,172.0,45.0,23,92.0,11760.0,98.0,24.0,634.0,747.0,13.0
2023-08-10,253.0,7123.0,7228.0,267,2989,26.014,28.552,40.0,105.0,45.0,30,93.0,12060.0,93.0,20.0,651.0,,13.0
2023-08-11,575.0,6863.0,7215.0,188,3391,38.289,32.461,39.0,145.0,44.0,28,86.0,12900.0,96.0,20.0,605.0,,13.0
2023-08-12,208.0,5324.0,4826.0,1482,1589,70.499,69.941,42.0,128.0,44.0,18,87.0,4620.0,94.0,36.0,656.0,,13.0
2023-08-13,0.0,22.0,19.0,0,60,0.0,0.0,41.0,79.0,44.0,15,74.0,60.0,51.0,21.0,654.0,,13.0
2023-08-14,1062.0,10585.0,30659.0,1044,5172,67.842,80.665,39.0,163.0,43.0,29,94.0,14040.0,100.0,15.0,676.0,703.0,13.0
2023-08-15,1005.0,6998.0,35911.0,514,4019,35.706,33.071,44.0,158.0,43.0,37,92.0,10380.0,68.0,12.0,623.0,1321.0,13.0
2023-08-16,816.0,12611.0,13073.0,2292,4363,111.234,110.936,41.0,162.0,44.0,30,97.0,13200.0,61.0,12.0,657.0,529.0,14.0
2023-08-17,112.0,5084.0,4303.0,404,2045,22.696,22.46,41.0,106.0,44.0,24,87.0,6540.0,84.0,22.0,656.0,,14.0
2023-08-18,258.0,9219.0,7950.0,587,4053,61.786,127.55,39.0,137.0,44.0,32,91.0,10560.0,96.0,15.0,645.0,,14.0
2023-08-19,1639.0,17512.0,16598.0,4384,6891,166.005,185.022,41.0,170.0,45.0,36,99.0,16920.0,68.0,10.0,630.0,2213.0,14.0
2023-08-20,1504.0,8644.0,43355.0,574,4586,43.666,32.184,47.0,169.0,46.0,39,99.0,13140.0,76.0,15.0,638.0,1195.0,14.0
2023-08-21,1667.0,12174.0,33316.0,1701,5735,47.228,133.47,42.0,161.0,47.0,30,99.0,16560.0,76.0,12.0,633.0,1465.0,14.0
2023-08-22,510.0,6257.0,15367.0,136,3418,21.797,30.703,46.0,153.0,48.0,24,89.0,6240.0,58.0,14.0,654.0,372.0,14.0
2023-08-23,1920.0,22458.0,23788.0,4773,7748,173.77,187.919,38.0,173.0,47.0,30,95.0,25860.0,89.0,10.0,605.0,1522.0,14.0
2023-08-24,297.0,8769.0,7500.0,372,4380,107.114,59.334,47.0,127.0,47.0,25,88.0,8940.0,65.0,15.0,624.0,,14.0
2023-08-25,307.0,10899.0,9224.0,631,4933,73.152,163.936,47.0,126.0,49.0,40,85.0,13200.0,84.0,23.0,542.0,,13.0
2023-08-26,25.0,697.0,590.0,72,324,18.288,14.425,41.0,112.0,49.0,28,84.0,1020.0,30.0,15.0,645.0,,13.0
2023-08-27,2962.0,20477.0,62323.0,4632,6197,99.497,97.873,38.0,179.0,48.0,38,98.0,22500.0,95.0,5.0,535.0,2752.0,14.0
